,methods,usab_score,Package,Paper
1,BBKNN,1.71842504956454,0.780925049564543,0.9375
2,ComBat,1.66110540691177,0.848605406911769,0.8125
3,ComBat (Scanpy),1.72037868320881,0.907878683208806,0.8125
4,CONOS,1.62315382671131,0.623153826711311,1
5,DESC,1.29629091749093,0.421290917490928,0.875
6,FastMNN,1.04935495391179,0.799354953911788,0.25
7,Harmony,1.85607935784203,0.856079357842032,1
8,LIGER,1.59401127693634,0.906511276936336,0.6875
9,MNN,1.58060495391179,0.705604953911788,0.875
10,MNNpy,1.33799550464694,0.462995504646942,0.875
11,SAUCIE,1.2380179146208,0.488017914620804,0.75
12,Scanorama,1.64366940795551,0.768669407955511,0.875
13,scANVI,1.24778222765873,0.810282227658735,0.4375
14,scGen,1.25823266380489,0.695732663804888,0.5625
15,scVI,1.5394488943254,0.883198894325402,0.65625
16,Seurat v3,1.76692158564815,0.954421585648148,0.8125
17,TrVAE,1.13722389163516,0.699723891635162,0.4375
